id,edad,sexo,entidad,escolaridad,zona,age_group,lengua_indigena,discapacidad,FE,educacion,ocupacion_semana_pasada,ocupacion_otra,relacion_jefe_hogar,relacion_jefe_otro,edad_jefe_hogar,sexo_jefe_hogar,sexo_jefe_otro,educacion_jefe_hogar,educacion_jefe_otro,personas_hogar,banos_completos,autos_hogar,internet_hogar,trabajaron_ultimo_mes,cuartos_dormir,discapacidad_largo_plazo,localidad_rural_urbana,localidad_otra,q_frase_voto1,q_frase_politicos,q_voto_insuficiente,q_otras_formas,q_politicos_preocupan,q_partidos_beneficio,q_acciones_cambio,q_redes_informarse,q_redes_emociones,q_ideologia,q_evita_hablar,q_gusto_hablar
1323,52,Hombre,Ciudad de México,Carrera técnica o comercial,Urbana,45-59,No,No,69453.12,Carrera técnica,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Uno,Ninguno,Sí,2,1,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Izquierda,No,Ni de acuerdo ni en desacuerdo
1327,66,Hombre,México,Primaria,Urbana,60+,No,No,96458.63,Primaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Uno,Uno,No por falta de recursos,1,1,No,Urbana,,Con el voto decido lo que pasa en el país,No creo en la política ni en los políticos,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Izquierda,Sí,En desacuerdo
1330,25,Hombre,Morelos,Secundaria,Rural,25-34,No,No,84412.7,Preparatoria incompleta,Trabajó con pago,,Hijo o hija,,70.0,Hombre,,Secundaria completa,,5,Uno,Ninguno,Sí,1,2,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Centro,No,De acuerdo
1332,56,Hombre,Nuevo León,Licenciatura o Ingeniería,Urbana,45-59,No,No,44546.53,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,2 o más,2 o más,Sí,1,3,No,Urbana,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ninguna,No,De acuerdo
1336,29,Mujer,Guerrero,Licenciatura o Ingeniería,Urbana,25-34,No,No,56301.02,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,2 o más,Ninguno,Sí,1,2,No,Urbana,,Con el voto decido lo que pasa en el país,Creo en la política y en los políticos,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Izquierda,No,De acuerdo
1337,20,Mujer,Guerrero,Primaria,Urbana,18-24,Sí,No,111521.37,Secundaria completa,Trabajó con pago,,Padre o madre,,39.0,Mujer,,Primaria completa,,6,Ninguno,Ninguno,"No, otra razón",1,1,No,Urbana,,No sabe/No responde,Creo en la política y en los políticos,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No sabe/No responde,Ninguna,No,De acuerdo
1339,65,Hombre,Guerrero,No estudió/ Otro,Rural,60+,No,No,28917.37,No estudió,Trabajó sin pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Ninguno,Ninguno,No por falta de recursos,Ninguno,4,No,Rural,,Votar no sirve para nada,No creo en la política ni en los políticos,No sabe/No responde,No sabe/No responde,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ninguna,No,En desacuerdo
1341,23,Hombre,Guanajuato,Preparatoria o bachillerato,Rural,18-24,No,No,74180.28,Licenciatura completa,Trabajó con pago,,Padre o madre,,48.0,Hombre,,Preparatoria completa,,5,Uno,2 o más,Sí,2,3,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,No sabe/No responde,De acuerdo
1343,39,Hombre,Sinaloa,Maestría o especialidad,Urbana,35-44,No,No,25862.36,Diplomado o maestría,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,2 o más,2 o más,Sí,2,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,No sabe/No responde,De acuerdo
1345,18,Mujer,Guerrero,Secundaria,Urbana,18-24,No,No,81352.23,Preparatoria incompleta,Estudiaba,,Hijo o hija,,52.0,Mujer,,Secundaria completa,,2,Uno,Ninguno,Sí,1,1,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,Sí,De acuerdo
1345,43,Mujer,Guanajuato,Primaria,Urbana,35-44,No,No,116710.78,Primaria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,Uno,Ninguno,Sí,1,2,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",No creo en la política ni en los políticos,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Centro,No,En desacuerdo
1347,28,Hombre,Nuevo León,Licenciatura o Ingeniería,Urbana,25-34,No,No,53172.95,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Uno,Uno,Sí,2,1,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Izquierda,Sí,De acuerdo
1348,21,Mujer,Nuevo León,Primaria,Urbana,45-59,No,No,136903.01,Secundaria completa,Trabajó con pago,,Hijo o hija,,50.0,Mujer,,Secundaria incompleta,,10,2 o más,Ninguno,Sí,1,4,No,Urbana,,Votar no sirve para nada,No creo en la política ni en los políticos,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ninguna,No,En desacuerdo
1349,48,Hombre,Morelos,Secundaria,Urbana,45-59,Sí,No,70718.16,Preparatoria incompleta,Trabajó sin pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,2 o más,Ninguno,Sí,2,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Izquierda,Sí,En desacuerdo
1349,48,Mujer,Sonora,Licenciatura o Ingeniería,Urbana,45-59,No,No,47066.6,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,2 o más,Uno,Sí,1,2,No,Urbana,,Votar no sirve para nada,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,Sí,En desacuerdo
1357,48,Mujer,Coahuila,Preparatoria o bachillerato,Urbana,45-59,No,Sí,70488.55,Carrera técnica,Se dedicaba al hogar,,Cónyuge o pareja,,50.0,Hombre,,Preparatoria completa,,2,Uno,Ninguno,Sí,No sabe/No responde,2,Sí,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Derecha,Sí,De acuerdo
1357,23,Mujer,Sonora,Preparatoria o bachillerato,Urbana,18-24,No,No,66389.46,Licenciatura completa,Trabajó con pago,,Hijo o hija,,50.0,Hombre,,Preparatoria completa,,5,2 o más,2 o más,Sí,4,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Centro,Sí,En desacuerdo
