id,edad,sexo,entidad,escolaridad,zona,age_group,lengua_indigena,discapacidad,FE,educacion,ocupacion_semana_pasada,ocupacion_otra,relacion_jefe_hogar,relacion_jefe_otro,edad_jefe_hogar,sexo_jefe_hogar,sexo_jefe_otro,educacion_jefe_hogar,educacion_jefe_otro,personas_hogar,banos_completos,autos_hogar,internet_hogar,trabajaron_ultimo_mes,cuartos_dormir,discapacidad_largo_plazo,localidad_rural_urbana,localidad_otra,q_no_seguir_noticias,q_medios_verifican,q_redes_confiables,q_emergencia_redes,q_molestan_periodistas,q_coincide_no_busca,q_confio_abiertos,q_titular_enemigos,q_titular_ineficaces,q_discutir_redes,q_imposible_distinguir,q_comparte_desenmascarar
463,39,Mujer,Querétaro,Secundaria,Rural,35-44,No,No,73338.33,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,6,Uno,Ninguno,Sí,3,2,No,Rural,,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo
465,73,Hombre,Jalisco,Secundaria,Urbana,60+,No,No,72916.97,Diplomado o maestría,Realizaba alguna otra actividad para generar ingresos,,Cónyuge o pareja,,64.0,Mujer,,Secundaria completa,,4,Uno,2 o más,Sí,4,3,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo
466,56,Hombre,Jalisco,Licenciatura o Ingeniería,Urbana,45-59,No,No,45298.41,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,2 o más,Uno,Sí,2,3,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
466,60,Hombre,Puebla,No estudió/ Otro,Rural,60+,No,No,30427.32,Primaria incompleta,Trabajó sin pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,Uno,Ninguno,No por falta de recursos,1,3,No,Rural,,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo
469,42,Hombre,Baja California,Licenciatura o Ingeniería,Rural,35-44,No,No,57510.44,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,2 o más,2 o más,Sí,3,4,No,Rural,,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo
476,46,Mujer,Puebla,Secundaria,Urbana,45-59,No,No,85554.67,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,2 o más,Uno,Sí,3,3,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
482,35,Mujer,Tlaxcala,Secundaria,Rural,35-44,No,No,81634.36,Preparatoria completa,Se dedicaba al hogar,,Cónyuge o pareja,,41.0,Hombre,,Secundaria completa,,4,Uno,Ninguno,Sí,1,2,No,Rural,,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo
486,52,Mujer,Veracruz,No estudió/ Otro,Rural,45-59,No,No,45847.25,Primaria incompleta,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,Ninguno,Sí,1,2,No,Rural,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
486,66,Mujer,Querétaro,Licenciatura o Ingeniería,Urbana,60+,No,No,53847.21,Licenciatura completa,Era jubilado o pensionado(a) (Programa Adultos Mayores),,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Uno,Ninguno,Sí,Ninguno,1,No,Urbana,,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,No sabe/No responde
488,32,Hombre,Veracruz,Licenciatura o Ingeniería,Urbana,25-34,No,No,49282.75,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,2 o más,Uno,Sí,2,1,No,Urbana,,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo
488,27,Hombre,Puebla,Secundaria,Rural,25-34,No,No,80550.33,Secundaria completa,Realizaba alguna otra actividad para generar ingresos,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Uno,Uno,"No, no lo quieren",2,2,No,Rural,,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
490,39,Mujer,Querétaro,Preparatoria o bachillerato,Urbana,35-44,No,No,58469.5,Preparatoria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,Uno,Sí,1,2,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
491,53,Hombre,Baja California,Carrera técnica o comercial,Urbana,45-59,No,No,69323.54,Carrera técnica,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,Uno,Uno,Sí,3,2,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo
491,43,Hombre,Querétaro,Preparatoria o bachillerato,Urbana,35-44,No,No,61909.71,Carrera técnica,Trabajó con pago,,Cónyuge o pareja,,41.0,Mujer,,Preparatoria completa,,4,Uno,Ninguno,Sí,2,2,No,Urbana,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
492,52,Hombre,Veracruz,Primaria,Rural,45-59,No,No,100083.85,Primaria completa,Trabajó sin pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Ninguno,Ninguno,No por falta de recursos,1,1,No,Rural,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
492,28,Mujer,Puebla,Licenciatura o Ingeniería,Urbana,25-34,No,No,59240.84,Licenciatura completa,Trabajó con pago,,Cónyuge o pareja,,32.0,Hombre,,Licenciatura completa,,3,Uno,Uno,Sí,2,2,No,Urbana,,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo
493,48,Mujer,Veracruz,Primaria,Urbana,45-59,No,No,126887.02,Primaria completa,Se dedicaba al hogar,,Cónyuge o pareja,,55.0,Hombre,,Primaria completa,,2,Ninguno,Ninguno,"No, otra razón",1,1,No,Urbana,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
495,34,Mujer,Nuevo León,Maestría o especialidad,Urbana,25-34,Sí,No,33451.6,Licenciatura incompleta,Se dedicaba al hogar,,Cónyuge o pareja,,38.0,Hombre,,Diplomado o maestría,,5,Uno,2 o más,Sí,1,2,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No sabe/No responde,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo
499,30,Hombre,Veracruz,No sabe o no responde,Rural,25-34,No,No,41923.59,Primaria incompleta,Trabajó con pago,,"[Esp.] Otro, especifique",YERNO,50.0,Mujer,,No sabe/No responde,,3,Ninguno,Ninguno,No por falta de recursos,1,1,No,Rural,,Sí está de acuerdo,No sabe/No responde,No sabe/No responde,Sí está de acuerdo,No está de acuerdo,No sabe/No responde,No sabe/No responde,No sabe/No responde,No sabe/No responde,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
505,67,Hombre,Baja California Sur,Secundaria,Rural,60+,No,No,78291.59,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,8,2 o más,2 o más,Sí,4,3,No,Rural,,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No sabe/No responde,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo
509,71,Mujer,Hidalgo,Primaria,Urbana,60+,No,No,119954.75,Primaria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Uno,Ninguno,Sí,1,2,No,Urbana,,No sabe/No responde,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No sabe/No responde,No está de acuerdo,No sabe/No responde,No sabe/No responde,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo
515,36,Mujer,Tabasco,Preparatoria o bachillerato,Rural,35-44,No,No,69637.59,Secundaria completa,Se dedicaba al hogar,,Cónyuge o pareja,,26.0,Hombre,,Licenciatura incompleta,,3,Uno,Ninguno,No por falta de recursos,1,2,No,Rural,,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo
518,35,Mujer,Tabasco,Secundaria,Rural,35-44,No,No,87346.47,Secundaria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,Uno,"No, no lo quieren",1,1,No,Rural,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo
519,38,Hombre,Veracruz,Doctorado,Urbana,35-44,No,No,17603.25,Doctorado,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,Uno,Sí,Ninguno,3,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo
522,53,Hombre,Tabasco,No estudió/ Otro,Urbana,45-59,No,No,39006.08,Primaria incompleta,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,2 o más,Ninguno,Sí,Ninguno,3,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo
526,19,Mujer,Tabasco,No sabe o no responde,Rural,18-24,No,No,48054.91,Secundaria completa,Se dedicaba al hogar,,"[Esp.] Otro, especifique",NUERA,60.0,Hombre,,No sabe/No responde,,6,Ninguno,Ninguno,Sí,3,4,No,Rural,,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo
527,59,Mujer,Veracruz,Preparatoria o bachillerato,Urbana,45-59,No,No,73795.0,Preparatoria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,2 o más,2 o más,Sí,2,3,No,Urbana,,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
528,78,Hombre,Puebla,Secundaria,Urbana,60+,No,No,61429.78,Secundaria completa,Era jubilado o pensionado(a) (Programa Adultos Mayores),,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Uno,Ninguno,Sí,1,2,No,Urbana,,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
528,39,Mujer,Tabasco,Secundaria,Urbana,35-44,No,No,87346.47,Secundaria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Uno,Ninguno,Sí,Ninguno,1,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo
530,30,Mujer,México,Primaria,Rural,25-34,No,No,164490.4,Secundaria completa,Se dedicaba al hogar,,Cónyuge o pareja,,33.0,Hombre,,Primaria completa,,5,Ninguno,Ninguno,No por falta de recursos,1,3,No,Rural,,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo
531,64,Hombre,Veracruz,Secundaria,Rural,60+,No,Sí,66460.54,Secundaria completa,[Esp.] Ya no trabaja,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,7,Ninguno,Ninguno,Sí,1,3,Sí,Rural,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
533,39,Mujer,Baja California,Secundaria,Urbana,35-44,No,No,96044.96,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,Uno,Uno,Sí,2,2,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo
535,28,Mujer,Tabasco,Secundaria,Rural,25-34,No,No,122246.23,Licenciatura completa,Trabajó con pago,,Padre o madre,,63.0,Mujer,,Secundaria completa,,3,No sabe/No responde,Uno,Sí,1,1,No,Rural,,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
537,39,Hombre,Puebla,Primaria,Urbana,35-44,No,No,108644.15,Secundaria incompleta,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,6,Uno,Uno,Sí,1,2,No,Urbana,,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo
538,42,Hombre,Tabasco,Preparatoria o bachillerato,Rural,35-44,Sí,No,73734.9,Preparatoria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Uno,Ninguno,No por falta de recursos,1,1,No,Rural,,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
540,63,Hombre,Veracruz,Secundaria,Urbana,60+,No,No,66460.54,Secundaria completa,Era jubilado o pensionado(a) (Programa Adultos Mayores),,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,2 o más,2 o más,Sí,Ninguno,2,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo
544,40,Mujer,Tabasco,Maestría o especialidad,Urbana,35-44,No,No,23894.79,Diplomado o maestría,Trabajó con pago,,Cónyuge o pareja,,41.0,Hombre,,Diplomado o maestría,,5,Uno,Uno,Sí,2,3,No,Urbana,,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
545,18,Hombre,Colima,Preparatoria o bachillerato,Rural,18-24,No,No,82989.91,Preparatoria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,2 o más,Uno,Sí,3,2,No,Rural,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo
546,24,Mujer,Puebla,Licenciatura o Ingeniería,Urbana,18-24,No,No,48408.0,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,2 o más,2 o más,Sí,1,3,No,Urbana,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
547,53,Mujer,Tamaulipas,Secundaria,Rural,45-59,No,No,91190.59,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Uno,Ninguno,"No, otra razón",1,1,No,Rural,,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
548,55,Hombre,Colima,Secundaria,Urbana,45-59,No,No,85873.93,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,2 o más,Ninguno,Sí,2,2,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo
549,25,Mujer,Puebla,Licenciatura o Ingeniería,Urbana,25-34,No,No,59240.84,Licenciatura completa,Trabajó con pago,,Padre o madre,,54.0,Mujer,,Licenciatura completa,,5,Uno,2 o más,Sí,4,4,No,Urbana,,No está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo
556,26,Hombre,Baja California,Maestría o especialidad,Urbana,25-34,No,No,28275.57,Diplomado o maestría,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Uno,Uno,Sí,1,1,No,Urbana,,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
557,28,Mujer,Morelos,Secundaria,Rural,25-34,No,No,109778.9,Preparatoria incompleta,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,Ninguno,Sí,1,1,No,Rural,,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo
558,23,Hombre,Baja California,Licenciatura o Ingeniería,Urbana,18-24,No,No,59358.8,Licenciatura completa,[Esp.] Buscaba trabajo,,Padre o madre,,57.0,Hombre,,Licenciatura completa,,4,2 o más,2 o más,Sí,4,3,No,Urbana,,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo
560,50,Hombre,Tamaulipas,Secundaria,Urbana,45-59,No,Sí,71927.8,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,Uno,Ninguno,No por falta de recursos,2,1,Sí,Urbana,,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo
563,44,Mujer,Michoacán,Primaria,No sabe/No responde,35-44,No,No,100011.47,Primaria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,2 o más,Uno,Sí,1,2,No,No sabe/No responde,,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo
563,73,Mujer,Ciudad de México,Licenciatura o Ingeniería,Urbana,60+,No,No,70650.91,Licenciatura completa,Era jubilado o pensionado(a) (Programa Adultos Mayores),,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,2 o más,Uno,Sí,No sabe/No responde,No sabe/No responde,No,Urbana,,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
566,76,Mujer,Ciudad de México,Secundaria,Urbana,60+,Sí,No,124932.38,Primaria completa,Se dedicaba al hogar,,Cónyuge o pareja,,72.0,Hombre,,Secundaria completa,,3,Uno,Ninguno,Sí,1,2,No,Urbana,,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo
568,41,Mujer,Ciudad de México,Maestría o especialidad,Urbana,35-44,No,No,26323.49,Licenciatura completa,Trabajó con pago,,Cónyuge o pareja,,50.0,Hombre,,Diplomado o maestría,,6,2 o más,2 o más,Sí,3,5 o más,No,Urbana,,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
569,57,Hombre,Ciudad de México,Maestría o especialidad,Urbana,45-59,No,No,23732.62,Diplomado o maestría,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,2 o más,2 o más,Sí,2,3,No,Urbana,,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
579,22,Hombre,Michoacán,No estudió/ Otro,Urbana,18-24,Sí,No,39492.42,Preparatoria completa,Estudiaba,,Hijo o hija,,37.0,Hombre,,No estudió,,5,Uno,Uno,Sí,3,5 o más,No,Urbana,,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo
581,38,Hombre,Tamaulipas,No estudió/ Otro,Urbana,35-44,No,No,41841.64,Primaria incompleta,Realizaba alguna otra actividad para generar ingresos,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Uno,Ninguno,Sí,1,3,No,Urbana,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo
